198	River City Ransom	4	Technos	4	60	1988	4.0
199	Robocop	8	Data East	7	29	1989	7.033333333333333
200	Robocop 2	13	Ocean	10	18	1990	10.157894736842104
201	Robocop 3	11	Ocean	8	14	1993	8.2
202	Robowarrior	10	Jaleco	6	15	1988	6.25
203	Rush 'N Attack	5	Konami	5	41	1987	5.0
204	Rygar	5	Tecmo	5	55	1987	5.0
205	Section Z	13	Capcom	6	29	1987	6.233333333333333
206	Shadow of the Ninja	4	Natsume	4	30	1990	4.0
207	Shadowgate	9	Icom	4	44	1989	4.111111111111111
208	Shatterhand	2	Jaleco	3	36	1991	2.972972972972973
209	Side Pocket	5	Data East	5	16	1987	5.0
210	Silver Surfer	13	Arcadia Systems	11	61	1990	11.03225806451613
211	Skate or Die	8	Ultra	9	38	1988	8.974358974358974
212	Skate or Die 2	8	Electronic Arts	7	18	1990	7.052631578947368
213	Ski or Die	6	Ultra	8	8	1990	7.777777777777778
214	Skull and Crossbones	3	Tengen	8	15	1990	7.6875
215	Sky Shark	5	Taito	5	23	1988	5.0
216	Slalom	8	Rare	7	24	1986	7.04
217	Smash TV	7	Acclaim	6	23	1991	6.041666666666667
218	Snake Rattle and Roll	9	Rare	6	32	1989	6.090909090909091
219	Soccer	6	Nintendo	9	15	1985	8.8125
220	Solar Jetman	12	Rare	6	38	1990	6.153846153846154
221	Spelunker	11	Broderbund	8	26	1985	8.11111111111111
222	Spiderman Return of the Sinister Six	11	LJN	9	17	1992	9.11111111111111
223	Spy Hunter	11	Sunsoft	7	38	1987	7.102564102564102
224	Spy Vs. Spy	7	Kemco	7	33	1988	7.0
225	Star Soldier	10	Hudson Soft	8	10	1988	8.181818181818182
226	Star Wars	13	Lucasfilm	7	41	1991	7.142857142857143
227	Startropics	4	Nintendo	3	46	1990	3.021276595744681
228	Stealth	13	Activision	12	15	1989	12.0625
229	Super C	2	Konami	3	89	1990	2.988888888888889
230	Super Dodge Ball	6	Imagesoft	3	54	1988	3.0545454545454547
231	Super Mario Bros.	2	Nintendo	2	212	1985	2.0
232	Super Mario Bros. 2	3	Nintendo	4	181	1988	3.9945054945054945
233	Super Mario Bros. 3	1	Nintendo	2	220	1990	1.995475113122172
234	Super Off Road	4	Tradewest	4	38	1990	4.0
235	Super Pitfall	13	Activision	12	44	1987	12.022222222222222
236	Super Spike V Ball	5	Technos	4	21	1989	4.045454545454546
237	Super Sprint	11	Tengen	6	37	1989	6.131578947368421
238	Super Spy Hunter	9	Sunsoft	5	18	1991	5.2105263157894735
239	T&C Surf Designs	7	LJN	8	39	1987	7.975
240	Taboo The Sixth Sense	13	Rare	12	40	1988	12.024390243902438
241	Target Renegade	13	Taito	7	15	1989	7.375
242	Tecmo Baseball	8	Tecmo	8	13	1988	8.0
243	Tecmo Bowl	4	Tecmo	4	52	1988	4.0
244	Tecmo NBA Basketball	9	Tecmo	7	15	1992	7.125
245	Tecmo Super Bowl	2	Tecmo	2	72	1991	2.0
246	Teenage Mutant Ninja Turtles	9	Ultra	6	112	1986	6.0265486725663715
247	Teenage Mutant Ninja Turtles 2: The Arcade Game	9	Konami	4	106	1990	4.046728971962617
248	Teenage Mutant Ninja Turtles 3: The Manhattan Project	5	Konami	3	65	1992	3.0303030303030303
249	Terminator 2: Judgement Day	13	LJN	11	18	1991	11.105263157894736
250	Terminator, The	12	Mindscape	12	35	1992	12.0
251	Tetris (Nintendo)	3	Nintendo	4	94	1989	3.9894736842105263
252	Tetris (Tengen)	4	Tengen	3	44	1988	3.022222222222222
253	Tiger-Heli	8	Acclaim	6	34	1986	6.057142857142857
254	Total Recall	11	Acclaim	11	20	1990	11.0
255	 Totally Rad	7	Jaleco	4	5	1991	4.5
256	Track and Field	5	Konami	6	35	1987	5.972222222222222
257	Track and Field II	7	Konami	7	29	1988	7.0
258	Trojan	5	Capcom	5	32	1986	5.0
259	Twin Eagle	9	Romstar	7	10	1989	7.181818181818182
260	Ultimate Basketball	11	Sammy	10	8	1990	10.11111111111111
261	Ultimate Stuntman	2	Codemasters	6	20	1991	5.809523809523809
262	Uninvited	9	Icom	5	26	1991	5.148148148148148
263	Urban Champion	13	Nintendo	11	49	1984	11.04
264	Vice: Project Doom	3	Sammy	3	29	1991	3.0
265	Volleyball	8	Nintendo	10	11	1986	9.833333333333334
266	Werewolf: The Last Warrior	13	Data East	7	21	1990	7.2727272727272725
267	Whomp 'Em	9	Jaleco	5	22	1991	5.173913043478261
268	Wild Gunman	9	Nintendo	6	27	1984	6.107142857142857
269	Winter Games	12	Epyx	13	24	1987	12.96
270	Wizards and Warriors	9	Rare	6	55	1987	6.053571428571429
271	World Games	6	Epyx	9	8	1986	8.666666666666666
272	Wrath of the Black Manta	7	Taito	6	31	1989	6.03125
273	Wrecking Crew	10	Nintendo	8	18	1985	8.105263157894736
274	Xevious	5	Namco	6	36	1988	5.972972972972973
275	Xexyz	10	Hudson Soft	5	26	1989	5.185185185185185
276	Yoshi	5	Nintendo	6	41	1992	5.976190476190476
277	Yoshi's Cookie	5	Nintendo	7	23	1993	6.916666666666667
278	Zanac	2	Pony	3	21	1986	2.9545454545454546
279	Zelda II: The Adventure of Link	3	Nintendo	4	112	1989	3.9911504424778763
280	Zelda, The Legend of	3	Nintendo	3	140	1986	3.0
281	Zombie Nation	4	Kaze	8	26	1991	7.851851851851852
